,scatter,scatter,scatter,scatter,heating regression,heating regression,heating regression,heating regression,cooling regression,cooling regression,cooling regression,cooling regression
city,Boro,Boro,Town,Town,Boro,Boro,Town,Town,Boro,Boro,Town,Town
aggr,aggregate,per meter,aggregate,per meter,aggregate,per meter,aggregate,per meter,aggregate,per meter,aggregate,per meter
temp,,,,,,,,,,,,
46.0,11.336759,12.1248759358,5.891051,7.11479589372,12.1755952673,12.5515748364,5.47897688771,6.58024830419,,,,
49.2,16.065574,16.9111305263,5.229579,6.43244649446,12.3540712727,12.7799911427,5.36341869127,6.4882845762,,,,
49.6,13.924692,14.3553525773,5.923555,6.97709658422,12.3763807734,12.808543181,5.34897391671,6.4767891102,,,,
49.7,12.675704,12.5751031746,5.897973,7.20143223443,12.3819581486,12.8156811906,5.34536272307,6.4739152437,,,,
50.6,9.584572,9.94250207469,5.590937,6.69573293413,12.4321545251,12.8799232768,5.31286198032,6.44805044521,,,,
51.7,9.776463,10.2371340314,5.604794,6.81019927096,12.493505652,12.9584413821,5.27313885029,6.41643791371,,,,
52.8,12.8742495,13.5320034158,5.0859535,6.26716143367,12.5548567788,13.0369594874,5.23341572026,6.38482538222,,,,
53.7,14.048249,14.8188280591,4.852219,5.94634681373,12.6050531554,13.1012015736,5.20091497751,6.35896058372,,,,
54.0,12.791374,12.959852077,6.117099,7.67515558344,12.6217852809,13.1226156023,5.19008139659,6.35033898422,,,,
55.8,16.427323,15.7349837165,5.487849,6.48681914894,,,,,15.3841656546,15.8893292053,5.46024242773,6.56766450768
56.1,14.61575,14.9006746863,5.990381,7.17626296068,,,,,15.3605820162,15.8645796377,5.47173906683,6.5807440416
56.9,13.70872,14.3246812957,5.549552,6.71046191052,,,,,15.2976923138,15.7985807909,5.50239677108,6.61562279871
57.0,12.226898,13.0768962567,4.446721,5.31268936679,,,,,15.289831101,15.7903309351,5.50622898412,6.61998264335
57.2,28.667227,30.1760284211,5.482924,6.63792251816,,,,,15.2741086754,15.7738312234,5.51389341018,6.62870233263
60.9,13.66949,14.3436411333,5.098269,6.18721966019,,,,,14.9832438019,15.4685865569,5.65568529237,6.79001658428
61.6,16.627086,17.2123043478,5.616928,6.97755031056,,,,,14.9282153123,15.410837566,5.68251078359,6.82053549676
62.2,14.569539,15.2720534591,5.275288,6.6439395466,,,,,14.8810480355,15.3613384309,5.70550406178,6.84669456459
64.0,17.436558,18.569284345,5.620504,6.77986007238,,,,,14.7395462052,15.2128410256,5.77448389636,6.9251717681
64.2,16.826498,17.3827458678,5.501124,6.4795335689,,,,,14.7238237796,15.1963413139,5.78214832242,6.93389145738
64.5,-4.779173,-5.02013970588,6.014394,7.15147919144,,,,,14.7002401412,15.1715917463,5.79364496152,6.9469709913
65.1,13.746675,13.705558325,5.470871,6.6153216445,,,,,14.6530728644,15.1220926112,5.81663823971,6.97313005913
65.2,17.842559,17.8069451098,6.62225,7.92135167464,,,,,14.6452116516,15.1138427554,5.82047045274,6.97748990377
67.0,11.539714,12.1598672287,5.761777,6.69974069767,,,,,14.5037098213,14.96534535,5.88945028732,7.05596710728
67.3,12.717091,13.1239329205,6.681679,8.14838902439,,,,,14.4801261829,14.9405957825,5.90094692642,7.0690466412
67.7,15.854217,16.4122329193,6.538148,7.85835096154,,,,,14.4486813317,14.9075963591,5.91627577855,7.08648601975
69.4,14.357096,14.893253112,5.878872,7.04056526946,,,,,14.3150407141,14.7673488096,5.98142340009,7.16060337862
69.5,16.410974,16.3130954274,5.929218,7.02513981043,,,,,14.3071795013,14.7590989538,5.98525561312,7.16496322326
70.2,13.594642,14.1023257261,6.144893,7.28931553974,,,,,14.2521510117,14.7013499628,6.01208110435,7.19548213573
70.7,10.727772,10.7385105105,5.733156,6.18463430421,,,,,14.2128449478,14.6601006836,6.03124216951,7.21728135893
70.9,18.621682,19.2372747934,6.150832,7.04562657503,,,,,14.1971225222,14.6436009719,6.03890659557,7.22600104821
71.5,13.88448,16.20126021,6.138462,7.41360144928,,,,,14.1499552454,14.5941018368,6.06189987376,7.25216011604
71.7,15.326031,15.2346232604,6.762593,8.01255094787,,,,,14.1342328198,14.5776021251,6.06956429983,7.26087980532
72.4,15.12801,15.6604658385,5.535791,6.60595584726,,,,,14.0792043302,14.5198531341,6.09638979105,7.2913987178
72.6,14.840128,15.6047613039,5.806082,7.19464931846,,,,,14.0634819046,14.5033534224,6.10405421712,7.30011840708
74.3,16.200065,16.6838980433,6.776728,8.46033458177,,,,,13.9298412871,14.363105873,6.16920183866,7.37423576594
74.4,15.589979,16.0555911432,5.842971,7.02280168269,,,,,13.9219800743,14.3548560171,6.17303405169,7.37859561058
74.5,6.87106,7.16481751825,6.120371,7.0349091954,,,,,13.9141188615,14.3466061613,6.17686626473,7.38295545522
75.1,12.892151,13.4714221526,6.775655,8.25292935445,,,,,13.8669515847,14.2971070262,6.19985954292,7.40911452306
75.4,15.509023,15.6498718466,6.243562,7.4862853717,,,,,13.8433679463,14.2723574586,6.21135618201,7.42219405698
75.6,17.237669,18.2990116773,5.60245,6.91660493827,,,,,13.8276455207,14.2558577469,6.21902060808,7.43091374625
78.1,12.647069,13.1329896158,6.525746,7.87182870929,,,,,13.6311152008,14.0496113507,6.31482593388,7.53990986224
78.2,12.347575,12.0346734893,6.1273,7.3293062201,,,,,13.623253988,14.0413614948,6.31865814691,7.54426970688
78.7,15.833578,16.0746984772,6.073461,7.19604383886,,,,,13.583947924,14.0001122156,6.33781921207,7.56606893007
78.8,14.752497,14.9165793731,6.189926,7.36019738407,,,,,13.5760867112,13.9918623597,6.3416514251,7.57042877471
