11/2010,PRINCETON BORO,Residential,"173,967.890 THM","3,135","1,803,353.000 KWH","3,986"
11/2010,PRINCETON BORO,Street Lighting,,,"49,721.000 KWH",28
11/2010,PRINCETON TWP,Commercial,"178,603.946 THM",307,"5,232,425.000 KWH",748
11/2010,PRINCETON TWP,Industrial,"1,460.518 THM",10,"27,880.000 KWH",18
11/2010,PRINCETON TWP,Residential,"430,475.609 THM","5,032","4,556,078.000 KWH","6,374"
11/2010,PRINCETON TWP,Street Lighting,,,"67,528.000 KWH",35
12/2010,PRINCETON BORO,Commercial,"1,740,692.278 THM",498,"12,375,647.000 KWH",924
12/2010,PRINCETON BORO,Industrial,"8,968.103 THM",21,"27,229.000 KWH",30
12/2010,PRINCETON BORO,Residential,"316,583.028 THM","3,107","2,069,581.000 KWH","4,013"
12/2010,PRINCETON BORO,Street Lighting,,,"68,572.000 KWH",49
12/2010,PRINCETON TWP,Commercial,"294,558.914 THM",324,"5,141,118.000 KWH",750
12/2010,PRINCETON TWP,Industrial,"2,808.027 THM",10,"27,785.000 KWH",19
12/2010,PRINCETON TWP,Residential,"794,291.422 THM","5,010","5,230,830.000 KWH","6,474"
12/2010,PRINCETON TWP,Street Lighting,,,"113,938.000 KWH",95
01/2011,PRINCETON BORO,Commercial,"2,428,850.642 THM",483,"11,342,099.000 KWH",923
01/2011,PRINCETON BORO,Industrial,"14,824.065 THM",21,"5,341.000 KWH",30
01/2011,PRINCETON BORO,Residential,"568,586.637 THM","3,124","2,703,112.000 KWH","4,063"
01/2011,PRINCETON BORO,Street Lighting,,,"62,424.000 KWH",91
01/2011,PRINCETON TWP,Commercial,"440,650.839 THM",312,"7,242,561.000 KWH",733
01/2011,PRINCETON TWP,Industrial,"3,965.906 THM",10,"35,183.000 KWH",18
01/2011,PRINCETON TWP,Residential,"1,374,306.318 THM","5,012","6,706,166.000 KWH","6,576"
01/2011,PRINCETON TWP,Street Lighting,,,"106,104.000 KWH",213
02/2011,PRINCETON BORO,Commercial,"2,243,639.405 THM",491,"11,407,193.000 KWH",943
02/2011,PRINCETON BORO,Industrial,"13,769.173 THM",21,"18,962.000 KWH",30
02/2011,PRINCETON BORO,Residential,"537,160.069 THM","3,119","2,365,535.000 KWH","4,084"
02/2011,PRINCETON BORO,Street Lighting,,,"60,482.000 KWH",50
02/2011,PRINCETON TWP,Commercial,"381,965.008 THM",328,"6,138,268.000 KWH",755
